OBJECTID,MeterNumb1,MeterNumb2,Duration,Notes,X,Y,FACILITYID
1,,,,1010107.450089021256870.25990127,1010107.45008902,1256870.25990127,1
2,,,,1010108.816245271256879.34737002,1010108.81624527,1256879.34737002,2
3,,,,1010106.638276521256861.72780752,1010106.63827652,1256861.72780752,3
4,,,,1010103.279464021256855.11824502,1010103.27946402,1256855.11824502,4
5,,,,1010102.156932771256845.93746377,1010102.15693277,1256845.93746377,5
6,,,,1010098.540995271256838.06277627,1010098.54099527,1256838.06277627,6
7,,,,1010095.913401521256828.81318252,1010095.91340152,1256828.81318252,7
8,,,,1010092.856057771256820.90777627,1010092.85605777,1256820.90777627,8
9,,,,1010090.026151521256812.56574502,1010090.02615152,1256812.56574502,9
10,,,,1010087.894182771256805.30802627,1010087.89418277,1256805.30802627,10
11,,,,1010084.714370271256795.76349502,1010084.71437027,1256795.76349502,11
12,,,,1010082.254964021256785.09330752,1010082.25496402,1256785.09330752,12
13,,,,1010079.277182771256776.88280752,1010079.27718277,1256776.88280752,13
14,,,,1010655.707964021256863.63274502,1010655.70796402,1256863.63274502,14
15,,,,1010656.455276521256847.05349502,1010656.45527652,1256847.05349502,15
16,,,,1009325.833839021257478.97655752,1009325.83383902,1257478.97655752,16
17,,,,1009325.122807771257453.68996377,1009325.12280777,1257453.68996377,17
18,,,,1009326.925307771257428.08080752,1009326.92530777,1257428.08080752,18
19,,,,1009581.586432771257544.78083877,1009581.58643277,1257544.78083877,19
20,,,,1009575.955120271257530.66387002,1009575.95512027,1257530.66387002,20
21,,,,1009550.448807771257441.97149502,1009550.44880777,1257441.97149502,21
22,,,,1009544.767339021257426.63933877,1009544.76733902,1257426.63933877,22
23,,,,1009430.456120271257179.35255752,1009430.45612027,1257179.35255752,23
24,,,,1009417.016245271257184.85283877,1009417.01624527,1257184.85283877,24
25,,,,1009375.148776521257225.28215127,1009375.14877652,1257225.28215127,25
26,,,,1009374.744245271257242.31743252,1009374.74424527,1257242.31743252,26
27,,,,1009374.933932771257259.28465127,1009374.93393277,1257259.28465127,27
28,,,,1009373.982901521257277.30162002,1009373.98290152,1257277.30162002,28
29,,,,1009373.701932771257295.89977627,1009373.70193277,1257295.89977627,29
30,,,,1009374.742401521257315.43590127,1009374.74240152,1257315.43590127,30
31,,,,1009439.069807771257333.73471377,1009439.06980777,1257333.73471377,31
32,,,,1009440.117932771257315.70883877,1009440.11793277,1257315.70883877,32
33,,,,1009435.491182771257301.43993252,1009435.49118277,1257301.43993252,33
34,,,,1009420.469557771257252.30105752,1009420.46955777,1257252.30105752,34
35,,,,1009423.577026521257265.86205752,1009423.57702652,1257265.86205752,35
36,,,,1009429.361714021257282.24102627,1009429.36171402,1257282.24102627,36
37,,,,1009435.559995271257299.57412002,1009435.55999527,1257299.57412002,37
38,,,,1009440.620651521257317.42724502,1009440.62065152,1257317.42724502,38
39,,,,1009446.788589021257334.35390127,1009446.78858902,1257334.35390127,39
40,,,,1009475.790714021257429.81649502,1009475.79071402,1257429.81649502,40
41,,,,1009479.037057771257443.51677627,1009479.03705777,1257443.51677627,41
42,,,,1009485.933307771257464.55833877,1009485.93330777,1257464.55833877,42
43,,,,1009492.230057771257480.25783877,1009492.23005777,1257480.25783877,43
44,,,,1009497.353214021257497.15315127,1009497.35321402,1257497.15315127,44
45,,,,1009505.090682771257516.69149502,1009505.09068277,1257516.69149502,45
46,,,,1009489.605245271257511.86227627,1009489.60524527,1257511.86227627,46
47,,,,1009471.475714021257512.65937002,1009471.47571402,1257512.65937002,47
48,,,,1009454.949057771257513.98630752,1009454.94905777,1257513.98630752,48
49,,,,1009437.948839021257432.25043252,1009437.94883902,1257432.25043252,49
50,,,,1009524.371714021257574.49055752,1009524.37171402,1257574.49055752,50
51,,,,1009510.065026521257574.58571377,1009510.06502652,1257574.58571377,51
52,,,,1009492.307370271257574.66877627,1009492.30737027,1257574.66877627,52
53,,,,1009474.182057771257574.55718252,1009474.18205777,1257574.55718252,53
54,,,,1009456.652151521257574.80208877,1009456.65215152,1257574.80208877,54
55,,,,1009442.920682771257574.39468252,1009442.92068277,1257574.39468252,55
56,,,,1009429.588339021257575.06252627,1009429.58833902,1257575.06252627,56
57,,,,1009410.929401521257573.93196377,1009410.92940152,1257573.93196377,57
58,,,,1009372.003307771257550.22783877,1009372.00330777,1257550.22783877,58
59,,,,1009372.141120271257537.08490127,1009372.14112027,1257537.08490127,59
60,,,,1011074.060401521256133.61643252,1011074.06040152,1256133.61643252,60
61,,,,1011073.674932771256142.06846377,1011073.67493277,1256142.06846377,61
62,,,,1011073.466307771256150.42418252,1011073.46630777,1256150.42418252,62
63,,,,1011073.609026521256158.87462002,1011073.60902652,1256158.87462002,63
64,,,,1011073.574901521256167.39590127,1011073.57490152,1256167.39590127,64
65,,,,1011073.686651521256175.86821377,1011073.68665152,1256175.86821377,65
66,,,,1011073.426151521256184.61277627,1011073.42615152,1256184.61277627,66
67,,,,1011073.355057771256193.17380752,1011073.35505777,1256193.17380752,67
68,,,,1011073.882307771256202.26240127,1011073.88230777,1256202.26240127,68
69,,,,1011073.437870271256210.83646377,1011073.43787027,1256210.83646377,69
70,,,,1011073.683120271256219.54808877,1011073.68312027,1256219.54808877,70
71,,,,1011073.335339021256227.93887002,1011073.33533902,1256227.93887002,71
72,,,,1011140.452995271256243.82815127,1011140.45299527,1256243.82815127,72
73,,,,1011139.445432771256231.26924502,1011139.44543277,1256231.26924502,73
74,,,,1011139.356995271256223.95621377,1011139.35699527,1256223.95621377,74
75,,,,1011139.701370271256215.88087002,1011139.70137027,1256215.88087002,75
76,,,,1011141.323714021256181.97893252,1011141.32371402,1256181.97893252,76
77,,,,1011139.901995271256170.13080752,1011139.90199527,1256170.13080752,77
78,,,,1011139.943464021256162.40727627,1011139.94346402,1256162.40727627,78
79,,,,1011140.906932771256150.07158877,1011140.90693277,1256150.07158877,79
80,,,,1011140.806401521256137.36408877,1011140.80640152,1256137.36408877,80
81,,,,1009470.511432771257196.95949502,1009470.51143277,1257196.95949502,81
