X,Y,OBJECTID_1,UniqueID,CompAddNum,CompStreetName,CompSubAddress,CompCityStateZip,StreetAddress,MainAddress,CompleteAddress,FeatureType,Alternate,Residential,Mailable,MainPoint,Anomaly,AnomalyType,Status,Authority,Landmark,ParcelNumber,ProprietaryID,AddNumPre,AddNum,AddNumPost,StreetPreDir,ImpliedPreDir,StreetPreType,StreetName,StreetPostType,StreetPostDir,StreetPostMod,SubAddType1,SubNumber1,SubAddType2,SubNumber2,SubAddType3,SubNumber3,City,ZipCode,ZipPlus4,UIUC,StatePlaneX,StatePlaneY
-88.3039912149856,40.1559207165032,1,173,3504,Bloomington Rd,,"Champaign, IL 61822",3504 Bloomington Rd,"3504 Bloomington Rd, Champaign, IL 61822","3504 Bloomington Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121433200002,173,,3504,,,,,Bloomington,Road,,,,,,,,,Champaign,61822,,,992453.260648,1270707.07607024
-88.3024313278453,40.1829256421839,2,5789,5207J,N Duncan Rd,,"Champaign, IL 61822",5207J N Duncan Rd,"5207J N Duncan Rd, Champaign, IL 61822","5207J N Duncan Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121421200035,5789,,5207,J,North,North,,Duncan,Road,,,,,,,,,Champaign,61822,9560,,992885.85427099,1280544.78474124
-88.3051319347349,40.1846611750484,3,5795,3511,W Hensley Rd,,"Champaign, IL 61822",3511 W Hensley Rd,"3511 W Hensley Rd, Champaign, IL 61822","3511 W Hensley Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121421200028,5795,,3511,,West,West,,Hensley,Road,,,,,,,,,Champaign,61822,8945,,992131.08511125,1281176.7683854
-88.246975983334,40.1849169775213,4,5801,1,E Hensley Rd,,"Champaign, IL 61822",1 E Hensley Rd,"1 E Hensley Rd, Champaign, IL 61822","1 E Hensley Rd, Champaign, IL 61822",Standard,P,N,Y,Y,N,,Active,Champaign,Central Tire,121424200004,M28010,,1,,East,East,,Hensley,Road,,,,,,,,,Champaign,61822,,,1008379.75930674,1281280.43582899
-88.2705714852539,40.1444817656915,5,5802,2603,Campbell Dr,,"Champaign, IL 61821",2603 Campbell Dr,"2603 Campbell Dr, Champaign, IL 61821","2603 Campbell Dr, Champaign, IL 61821",Vacant Land,P,N,N,Y,N,,Active,Champaign,,411435353017,5802,,2603,,,,,Campbell,Drive,,,,,,,,,Champaign,61821,,,1001797.61072566,1266544.86293799
-88.3042401120464,40.1846014742422,6,5827,3413,W Hensley Rd,,"Champaign, IL 61822",3413 W Hensley Rd,"3413 W Hensley Rd, Champaign, IL 61822","3413 W Hensley Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121421200029,5827,,3413,,West,West,,Hensley,Road,,,,,,,,,Champaign,61822,9595,,992380.26735566,1281155.10044974
-88.2966920661652,40.1839648742362,7,5850,5317,N Duncan Rd,,"Champaign, IL 61822",5317 N Duncan Rd,"5317 N Duncan Rd, Champaign, IL 61822","5317 N Duncan Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121421200009,5850,,5317,,North,North,,Duncan,Road,,,,,,,,,Champaign,61822,9534,,994489.28774391,1280923.97492774
-88.298993056909,40.1833608623897,8,5851,5219,N Duncan Rd,,"Champaign, IL 61822",5219 N Duncan Rd,"5219 N Duncan Rd, Champaign, IL 61822","5219 N Duncan Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121421200017,5851,,5219,,North,North,,Duncan,Road,,,,,,,,,Champaign,61822,9560,,993846.46980383,1280703.68337357
-88.2974883066255,40.1827439963466,9,5869,5207A,N Duncan Rd,,"Champaign, IL 61822",5207A N Duncan Rd,"5207A N Duncan Rd, Champaign, IL 61822","5207A N Duncan Rd, Champaign, IL 61822",Standard,P,Y,Y,Y,N,,Active,Champaign,,121421200019,5869,,5207,A,North,North,,Duncan,Road,,,,,,,,,Champaign,61822,9560,,994266.99553758,1280479.13231349
-88.3015773436671,40.1849279161323,10,5870,3301,W Hensley Rd,,"Champaign, IL 61822",3301 W Hensley Rd,"3301 W Hensley Rd, Champaign, IL 61822","3301 W Hensley Rd, Champaign, IL 61822",Standard,P,N,N,Y,N,,Active,Champaign,,121421200020,5870,,3301,,West,West,,Hensley,Road,,,,,,,,,Champaign,61822,,,993124.20254758,1281274.27442399
